,0
373,CBIAT: atp_c + cbi_c + h_c <=> adocbi_c + pppi_c
374,CFAS160G: 2.0 amet_c + pg161_c --> 2.0 ahcys_c + cpg160_c + 2.0 h_c
375,3CMPtex: 3cmp_e <=> 3cmp_p
376,CFAS180E: 2.0 amet_c + pe181_c --> 2.0 ahcys_c + cpe180_c + 2.0 h_c
377,CFAS180G: 2.0 amet_c + pg181_c --> 2.0 ahcys_c + cpg180_c + 2.0 h_c
378,CGLYabcpp: atp_c + cgly_p + h2o_c --> adp_c + cgly_c + h_c + pi_c
379,CBItonex: cbi_e + h_p --> cbi_p + h_c
380,CBIuabcpp: atp_c + cbi_p + h2o_c --> adp_c + cbi_c + h_c + pi_c
381,CBL1abcpp: atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c
382,CGLYtex: cgly_e <=> cgly_p
383,3GMPtex: 3gmp_e <=> 3gmp_p
384,CHLabcpp: atp_c + chol_p + h2o_c --> adp_c + chol_c + h_c + pi_c
385,CHLt2pp: chol_p + h_p --> chol_c + h_c
386,CHLtex: chol_e <=> chol_p
387,CHORM: chor_c --> pphn_c
388,CHORS: 3psme_c --> chor_c + pi_c
389,CBL1tonex: cbl1_e + h_p --> cbl1_p + h_c
390,CBLAT: atp_c + cbl1_c + h_c <=> adocbl_c + pppi_c
391,CBMKr: atp_c + co2_c + nh4_c <=> adp_c + cbp_c + 2.0 h_c
392,CBPS: 2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c
393,CD2abcpp: atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c
394,CD2t3pp: cd2_c + h_p --> cd2_p + h_c
395,CD2tex: cd2_e <=> cd2_p
396,CHRPL: chor_c --> 4hbz_c + pyr_c
397,CINNDO: cinnm_c + h_c + nadh_c + o2_c --> cenchddd_c + nad_c
398,CITL: cit_c --> ac_c + oaa_c
399,CITt7pp: cit_p + succ_c --> cit_c + succ_p
400,CD2tpp: cd2_p --> cd2_c
401,3HAD100: 3hdecACP_c --> h2o_c + tdec2eACP_c
402,CDAPPA120: cdpdddecg_c + h2o_c --> cmp_c + 2.0 h_c + pa120_c
403,CDAPPA140: cdpdtdecg_c + h2o_c --> cmp_c + 2.0 h_c + pa140_c
404,CDAPPA141: cdpdtdec7eg_c + h2o_c --> cmp_c + 2.0 h_c + pa141_c
405,CITtex: cit_e <=> cit_p
406,CLIPAtex: lipa_cold_p --> lipa_cold_e
407,CLPNH120pp: clpn120_p + h2o_p --> h_p + pa120_p + pg120_p
408,CLPNH140pp: clpn140_p + h2o_p --> h_p + pa140_p + pg140_p
409,CLPNH141pp: clpn141_p + h2o_p --> h_p + pa141_p + pg141_p
410,CDAPPA160: cdpdhdecg_c + h2o_c --> cmp_c + 2.0 h_c + pa160_c
411,CLPNH160pp: clpn160_p + h2o_p --> h_p + pa160_p + pg160_p
412,3HAD120: 3hddecACP_c --> h2o_c + tddec2eACP_c
413,CLPNH161pp: clpn161_p + h2o_p --> h_p + pa161_p + pg161_p
414,3HAD121: 3hcddec5eACP_c --> h2o_c + t3c5ddeceACP_c
415,CLPNH180pp: clpn180_p + h2o_p --> h_p + pa180_p + pg180_p
416,CLPNH181pp: clpn181_p + h2o_p --> h_p + pa181_p + pg181_p
417,CLPNS120pp: 2.0 pg120_p <=> clpn120_p + glyc_p
418,CLPNS140pp: 2.0 pg140_p <=> clpn140_p + glyc_p
419,CRNDCAL2: atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c
420,CRNDabcpp: atp_c + crn__D_p + h2o_c --> adp_c + crn__D_c + h_c + pi_c
421,CRNDt2rpp: crn__D_p + h_p <=> crn__D_c + h_c
422,CRNabcpp: atp_c + crn_p + h2o_c --> adp_c + crn_c + h_c + pi_c
423,CRNt2rpp: crn_p + h_p <=> crn_c + h_c
424,CRNt7pp: crn_p + gbbtn_c --> crn_c + gbbtn_p
425,CLPNS141pp: 2.0 pg141_p <=> clpn141_p + glyc_p
426,CLPNS160pp: 2.0 pg160_p <=> clpn160_p + glyc_p
427,CRNt8pp: crn__D_c + crn_p --> crn__D_p + crn_c
428,CLPNS161pp: 2.0 pg161_p <=> clpn161_p + glyc_p
429,CLPNS180pp: 2.0 pg180_p <=> clpn180_p + glyc_p
430,CRNtex: crn_e <=> crn_p
431,CLPNS181pp: 2.0 pg181_p <=> clpn181_p + glyc_p
432,3HAD140: 3hmrsACP_c --> h2o_c + tmrs2eACP_c
433,CLt3_2pp: 2.0 cl_p + h_c --> 2.0 cl_c + h_p
434,CLtex: cl_e <=> cl_p
435,CS: accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
436,CSND: csn_c + h2o_c + h_c --> nh4_c + ura_c
437,CSNt2pp: csn_p + h_p --> csn_c + h_c
438,CSNtex: csn_e <=> csn_p
439,CMPN: cmp_c + h2o_c --> csn_c + r5p_c
440,CMPtex: cmp_e <=> cmp_p
441,CTBTCAL2: atp_c + coa_c + ctbt_c --> adp_c + ctbtcoa_c + pi_c
442,3HAD141: 3hcmrs7eACP_c --> h2o_c + t3c7mrseACP_c
443,CTBTabcpp: atp_c + ctbt_p + h2o_c --> adp_c + ctbt_c + h_c + pi_c
444,CO2tex: co2_e <=> co2_p
445,CO2tpp: co2_p <=> co2_c
446,CTBTt2rpp: ctbt_p + h_p <=> ctbt_c + h_c
447,COBALT2abcpp: atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c
448,CTPS2: atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c
449,CU1Opp: 4.0 cu_p + 4.0 h_p + o2_p --> 4.0 cu2_p + 2.0 h2o_p
450,CU1abcpp: atp_c + cu_c + h2o_c --> adp_c + cu_p + h_c + pi_c
451,COBALT2t3pp: cobalt2_c + h_p --> cobalt2_p + h_c
452,COBALT2tex: cobalt2_e <=> cobalt2_p
453,COBALT2tpp: cobalt2_p --> cobalt2_c
454,COLIPAabcpp: atp_c + colipa_c + h2o_c --> adp_c + colipa_p + h_c + pi_c
455,CU2abcpp: atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c
456,CU2tex: cu2_e <=> cu2_p
457,3HAD160: 3hpalmACP_c --> h2o_c + tpalm2eACP_c
458,CU2tpp: cu2_p --> cu2_c
459,CUt3: cu_c + h_e --> cu_e + h_c
460,CUtex: cu_e <=> cu_p
461,COLIPAtex: colipa_p --> colipa_e
462,CPGNR1: 2.0 cpgn_c + fadh2_c --> 2.0 cpgn_un_c + fad_c + 2.0 fe2_c + 2.0 h_c
463,CPGNR2: 2.0 cpgn_c + fmnh2_c --> 2.0 cpgn_un_c + 2.0 fe2_c + fmn_c + 2.0 h_c
464,CPGNR3: 2.0 cpgn_c + rbflvrd_c --> 2.0 cpgn_un_c + 2.0 fe2_c + 2.0 h_c + ribflv_c
465,CYANST: cyan_c + tsul_c --> h_c + so3_c + tcynt_c
466,CYANSTpp: cyan_p + tsul_p --> h_p + so3_p + tcynt_p
467,CPGNUtex: cpgn_un_p + h_p --> cpgn_un_e + h_c
468,CPGNUtpp: cpgn_un_c + h_p --> cpgn_un_p + h_c
469,3HAD161: 3hcpalm9eACP_c --> h2o_c + t3c9palmeACP_c
470,CPGNabcpp: atp_c + cpgn_p + h2o_c --> adp_c + cpgn_c + h_c + pi_c
471,CPGNexs: cpgn_un_e + fe3_e --> cpgn_e
472,CYANtex: cyan_e <=> cyan_p
473,CYNTAH: cynt_c + 3.0 h_c + hco3_c --> 2.0 co2_c + nh4_c
474,CYNTt2pp: cynt_p + h_p --> cynt_c + h_c
475,CPGNtonex: cpgn_e + h_p --> cpgn_p + h_c
476,CPPPGO: cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
477,3HAD180: 3hoctaACP_c --> h2o_c + toctd2eACP_c
478,CYNTtex: cynt_e <=> cynt_p
479,CYSDDS: cys__D_c + h2o_c --> h2s_c + nh4_c + pyr_c
480,CPPPGO2: 2.0 amet_c + cpppg3_c --> 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + pppg9_c
481,CRNBTCT: bbtcoa_c + crn_c <=> crncoa_c + gbbtn_c
482,CRNCAL2: atp_c + coa_c + crn_c --> adp_c + crncoa_c + pi_c
483,CRNCAR: crncoa_c <=> crnDcoa_c
484,CRNCBCT: crn_c + ctbtcoa_c <=> crncoa_c + ctbt_c
485,CYSDS: cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
486,CYSDabcpp: atp_c + cys__D_p + h2o_c --> adp_c + cys__D_c + h_c + pi_c
487,CYSDtex: cys__D_e <=> cys__D_p
488,CYSS: acser_c + h2s_c --> ac_c + cys__L_c + h_c
489,CYSSADS: 3sala_c + 2.0 h_c --> ala__L_c + so2_c
490,CYSTL: cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c
491,CRNCDH: crncoa_c <=> ctbtcoa_c + h2o_c
492,CYSTRS: atp_c + cys__L_c + trnacys_c --> amp_c + cystrna_c + ppi_c
493,3HAD181: 3hcvac11eACP_c --> h2o_c + t3c11vaceACP_c
494,CYSabc2pp: atp_c + cys__L_c + h2o_c --> adp_c + cys__L_p + h_c + pi_c
495,CYSabcpp: atp_c + cys__L_p + h2o_c --> adp_c + cys__L_c + h_c + pi_c
496,CYStex: cys__L_e <=> cys__L_p
497,DALAt2pp: ala__D_p + h_p --> ala__D_c + h_c
498,DALAtex: ala__D_e <=> ala__D_p
499,CYStpp: cys__L_c --> cys__L_p
500,3HAD40: 3haACP_c --> but2eACP_c + h2o_c
501,CYTBD2pp: 2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_p + mqn8_c
502,DAMPtex: damp_e <=> damp_p
503,DAPAL: 23dappa_c + h2o_c --> 2.0 nh4_c + pyr_c
504,DAPDC: 26dap__M_c + h_c --> co2_c + lys__L_c
505,DAPE: 26dap_LL_c <=> 26dap__M_c
506,CYTBDpp: 2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c
507,DAPabcpp: 26dap__M_p + atp_c + h2o_c --> 26dap__M_c + adp_c + h_c + pi_c
508,CYTBO3_4pp: 4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c
509,3HAD60: 3hhexACP_c --> h2o_c + thex2eACP_c
510,CYTD: cytd_c + h2o_c + h_c --> nh4_c + uri_c
511,CYTDH: cytd_c + h2o_c --> csn_c + rib__D_c
512,DAPtex: 15dap_e <=> 15dap_p
513,DASYN120: ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c
514,DASYN140: ctp_c + h_c + pa140_c --> cdpdtdecg_c + ppi_c
515,DASYN141: ctp_c + h_c + pa141_c --> cdpdtdec7eg_c + ppi_c
516,DASYN160: ctp_c + h_c + pa160_c --> cdpdhdecg_c + ppi_c
517,DASYN161: ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c
518,DASYN180: ctp_c + h_c + pa180_c --> cdpdodecg_c + ppi_c
519,DASYN181: ctp_c + h_c + pa181_c --> cdpdodec11eg_c + ppi_c
520,CYTDK2: cytd_c + gtp_c --> cmp_c + gdp_c + h_c
521,CYTDt2pp_copy1: cytd_p + h_p --> cytd_c + h_c
522,CYTDt2pp_copy2: cytd_p + h_p <=> cytd_c + h_c
523,CYTDtex: cytd_e <=> cytd_p
524,CYTK1: atp_c + cmp_c <=> adp_c + cdp_c
525,CYTK2: atp_c + dcmp_c <=> adp_c + dcdp_c
526,DAAD: ala__D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c
527,DADA: dad_2_c + h2o_c + h_c --> din_c + nh4_c
528,DATPHs: datp_c + h2o_c + h_c --> ditp_c + nh4_c
529,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
530,DBTS: atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c
531,DADK: atp_c + damp_c <=> adp_c + dadp_c
532,3HAD80: 3hoctACP_c --> h2o_c + toct2eACP_c
533,DADNt2pp: dad_2_p + h_p --> dad_2_c + h_c
534,DADNtex: dad_2_e <=> dad_2_p
535,DAGK120: 12dgr120_c + atp_c --> adp_c + h_c + pa120_c
536,DCAtex: dca_e <=> dca_p
537,DCMPtex: dcmp_e <=> dcmp_p
538,DAGK140: 12dgr140_c + atp_c --> adp_c + h_c + pa140_c
539,DCTPD: dctp_c + h2o_c + h_c --> dutp_c + nh4_c
540,DAGK141: 12dgr141_c + atp_c --> adp_c + h_c + pa141_c
541,DCYTD: dcyt_c + h2o_c + h_c --> duri_c + nh4_c
542,3HCINNMH: 3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c
543,DCYTt2pp: dcyt_p + h_p --> dcyt_c + h_c
544,DAGK160: 12dgr160_c + atp_c --> adp_c + h_c + pa160_c
545,DAGK161: 12dgr161_c + atp_c --> adp_c + h_c + pa161_c
546,DAGK180: 12dgr180_c + atp_c --> adp_c + h_c + pa180_c
547,DCYTtex: dcyt_e <=> dcyt_p
548,3HPPPNH: 3hpppn_c + h_c + nadh_c + o2_c --> dhpppn_c + h2o_c + nad_c
549,DDCAtexi: ddca_e --> ddca_p
550,DDGALK: 2dh3dgal_c + atp_c --> 2dh3dgal6p_c + adp_c + h_c
551,DDGLCNt2rpp: 2ddglcn_p + h_p <=> 2ddglcn_c + h_c
552,DAGK181: 12dgr181_c + atp_c --> adp_c + h_c + pa181_c
553,EX_ade_e: ade_e --> 
554,DDGLCNtex: 2ddglcn_e <=> 2ddglcn_p
555,3KGK: 3dhguln_c + atp_c --> 3dhgulnp_c + adp_c + h_c
556,DDGLK: 2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
557,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
558,DKGLCNR1: 25dkglcn_c + h_c + nadph_c --> 2dhguln_c + nadp_c
559,DKGLCNR2x: 25dkglcn_c + h_c + nadh_c --> 5dglcn_c + nad_c
560,DKGLCNR2y: 25dkglcn_c + h_c + nadph_c --> 5dglcn_c + nadp_c
561,DDPGALA: 2dh3dgal6p_c <=> g3p_c + pyr_c
562,DKMPPD: dkmpp_c + h2o_c + o2_c --> 2kmb_c + for_c + 2.0 h_c + pi_c
563,3NTD2pp: 3ump_p + h2o_p --> pi_p + uri_p
564,DKMPPD3: dkmpp_c + 3.0 h2o_c + 2.0 nad_c --> 2kmb_c + for_c + 4.0 h_c + 2.0 nadh_c + pi_c
565,DGK1: atp_c + dgmp_c <=> adp_c + dgdp_c
566,DGMPtex: dgmp_e <=> dgmp_p
567,DGSNt2pp: dgsn_p + h_p --> dgsn_c + h_c
568,DMATT: dmpp_c + ipdp_c --> grdp_c + ppi_c
569,3NTD4pp: 3cmp_p + h2o_p --> cytd_p + pi_p
570,DMPPS: h2mb4p_c + h_c + nadh_c --> dmpp_c + h2o_c + nad_c
571,DMQMT: 2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c
572,DMSOR1: dmso_c + mql8_c --> dms_c + h2o_c + mqn8_c
573,DGSNtex: dgsn_e <=> dgsn_p
574,DHAD1: 23dhmb_c --> 3mob_c + h2o_c
575,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
576,3NTD7pp: 3amp_p + h2o_p --> adn_p + pi_p
577,DHAPT: dha_c + pep_c --> dhap_c + pyr_c
578,DHAtex: dha_e <=> dha_p
579,DMSOR1pp: dmso_p + mql8_c --> dms_p + h2o_p + mqn8_c
580,DMSOR2: 2dmmql8_c + dmso_c --> 2dmmq8_c + dms_c + h2o_c
581,DMSOR2pp: 2dmmql8_c + dmso_p --> 2dmmq8_c + dms_p + h2o_p
582,DMSOtex: dmso_e <=> dmso_p
583,DMStex: dms_e <=> dms_p
584,DM_4hba_c: 4hba_c --> 
585,DHAtpp: dha_p <=> dha_c
586,DHBD: 23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c
587,DHBS: 23dhb_c + atp_c + h_c --> 23dhba_c + ppi_c
588,DHBSH: 23dhbzs_c + h2o_c --> 23dhb_c + ser__L_c
589,DHCIND: cenchddd_c + nad_c --> dhcinnm_c + h_c + nadh_c
590,DHCINDO: dhcinnm_c + o2_c --> h_c + hkntd_c
591,DHDPRy: 23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c
592,DM_5drib_c: 5drib_c --> 
593,3NTD9pp: 3gmp_p + h2o_p --> gsn_p + pi_p
594,DM_aacald_c: aacald_c --> 
595,DM_hmfurn_c: hmfurn_c --> 
596,DM_oxam_c: oxam_c --> 
597,DNMPPA: dhpmp_c + h2o_c --> dhnpt_c + pi_c
598,DHDPS: aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c
599,DHFR: dhf_c + h_c + nadph_c <=> nadp_c + thf_c
600,DHFS: atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c
601,DHNAOT4: dhna_c + h_c + octdp_c --> 2dmmql8_c + co2_c + ppi_c
602,DHNPA2r: dhnpt_c --> 6hmhpt_c + gcald_c
603,DHORD2: dhor__S_c + q8_c --> orot_c + q8h2_c
604,DNTPPA: ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c
605,DOGULNR: 23doguln_c + h_c + nadh_c --> 3dhguln_c + nad_c
606,DOPAtex: dopa_e <=> dopa_p
607,DHORD5: dhor__S_c + mqn8_c --> mql8_c + orot_c
608,DHORTS: dhor__S_c + h2o_c <=> cbasp_c + h_c
609,3OAR100: 3odecACP_c + h_c + nadph_c <=> 3hdecACP_c + nadp_c
610,DHPPD: cechddd_c + nad_c --> dhpppn_c + h_c + nadh_c
611,DHPPDA2: 25drapp_c + h2o_c + h_c --> 5apru_c + nh4_c
612,DHPS2: 4abz_c + 6hmhptpp_c --> dhpt_c + ppi_c
613,DPCOAK: atp_c + dpcoa_c --> adp_c + coa_c + h_c
614,DPR: 2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c
615,DRPA: 2dr5p_c --> acald_c + g3p_c
616,DSBAO1: dsbard_p + q8_c --> dsbaox_p + q8h2_c
617,DSBAO2: dsbard_p + mqn8_c --> dsbaox_p + mql8_c
618,DSBCGT: dsbcox_p + 2.0 gthrd_p --> dsbcrd_p + gthox_p
619,DSBDR: dsbdox_c + trdrd_c --> dsbdrd_c + trdox_c
620,DSBGGT: dsbgox_p + 2.0 gthrd_p --> dsbgrd_p + gthox_p
621,DSERDHr: nadp_c + ser__D_c <=> 2amsa_c + h_c + nadph_c
622,DSERt2pp: h_p + ser__D_p --> h_c + ser__D_c
623,DHPTDCs: dhptd_c --> h2o_c + hmfurn_c
624,DHPTPE: ahdt_c <=> dhmptp_c
625,DHQS: 2dda7p_c --> 3dhq_c + pi_c
626,DHQTi: 3dhq_c --> 3dhsk_c + h2o_c
627,DIMPtex: dimp_e <=> dimp_p
628,DINSt2pp: din_p + h_p --> din_c + h_c
629,DSERtex: ser__D_e <=> ser__D_p
630,DTMPK: atp_c + dtmp_c <=> adp_c + dtdp_c
631,DTMPtex: dtmp_e <=> dtmp_p
632,DINStex: din_e <=> din_p
633,3OAR120: 3oddecACP_c + h_c + nadph_c <=> 3hddecACP_c + nadp_c
634,DUMPtex: dump_e <=> dump_p
635,DURIK1: atp_c + duri_c --> adp_c + dump_c + h_c
636,DURIPP: duri_c + pi_c <=> 2dr1p_c + ura_c
637,EAR40x: but2eACP_c + h_c + nadh_c --> butACP_c + nad_c
638,3OAR121: 3ocddec5eACP_c + h_c + nadph_c --> 3hcddec5eACP_c + nadp_c
639,EAR40y: but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c
640,DURIt2pp: duri_p + h_p --> duri_c + h_c
641,DURItex: duri_e <=> duri_p
642,DUTPDP: dutp_c + h2o_c --> dump_c + h_c + ppi_c
643,EAR60x: h_c + nadh_c + thex2eACP_c --> hexACP_c + nad_c
644,DXPRIi: dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
645,3OAR140: 3omrsACP_c + h_c + nadph_c <=> 3hmrsACP_c + nadp_c
646,DXPS: g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
647,EAR60y: h_c + nadph_c + thex2eACP_c --> hexACP_c + nadp_c
648,EAR80x: h_c + nadh_c + toct2eACP_c --> nad_c + ocACP_c
649,EAR80y: h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c
650,ECA4COLIPAtex: eca4colipa_p --> eca4colipa_e
651,DXYLK: atp_c + dxyl_c --> adp_c + dxyl5p_c + h_c
652,D_LACt2pp: h_p + lac__D_p <=> h_c + lac__D_c
653,D_LACtex: lac__D_e <=> lac__D_p
654,E4PD: e4p_c + h2o_c + nad_c <=> 4per_c + 2.0 h_c + nadh_c
655,ECA4OALpp: colipa_p + eca4und_p --> eca4colipa_p + h_p + udcpdp_p
656,ECAP1pp: 2.0 unagamuf_p --> eca2und_p + h_p + udcpdp_p
657,EAR100x: h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c
658,3OAR141: 3ocmrs7eACP_c + h_c + nadph_c --> 3hcmrs7eACP_c + nadp_c
659,EAR100y: h_c + nadph_c + tdec2eACP_c --> dcaACP_c + nadp_c
660,EAR120x: h_c + nadh_c + tddec2eACP_c --> ddcaACP_c + nad_c
661,EAR120y: h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c
662,ECAP2pp: eca2und_p + unagamuf_p --> eca3und_p + h_p + udcpdp_p
663,ECAP3pp: eca3und_p + unagamuf_p --> eca4und_p + h_p + udcpdp_p
664,ECAtpp: unagamuf_c --> unagamuf_p
665,ECOAH1: 3hbcoa_c <=> b2coa_c + h2o_c
666,ECOAH2: 3hhcoa_c <=> h2o_c + hx2coa_c
667,EAR121x: h_c + nadh_c + t3c5ddeceACP_c --> cddec5eACP_c + nad_c
668,EAR121y: h_c + nadph_c + t3c5ddeceACP_c --> cddec5eACP_c + nadp_c
669,EAR140x: h_c + nadh_c + tmrs2eACP_c --> myrsACP_c + nad_c
670,ECOAH3: 3hocoa_c <=> h2o_c + oc2coa_c
671,3OAR160: 3opalmACP_c + h_c + nadph_c <=> 3hpalmACP_c + nadp_c
672,ECOAH4: 3hdcoa_c <=> dc2coa_c + h2o_c
673,ECOAH5: 3hddcoa_c <=> dd2coa_c + h2o_c
674,ECOAH6: 3htdcoa_c <=> h2o_c + td2coa_c
675,EAR140y: h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c
676,EAR141x: h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c
677,EAR141y: h_c + nadph_c + t3c7mrseACP_c --> nadp_c + tdeACP_c
678,ECOAH7: 3hhdcoa_c <=> h2o_c + hdd2coa_c
679,ECOAH8: 3hodcoa_c <=> h2o_c + od2coa_c
680,EAR160x: h_c + nadh_c + tpalm2eACP_c --> nad_c + palmACP_c
681,EAR160y: h_c + nadph_c + tpalm2eACP_c --> nadp_c + palmACP_c
682,EAR161x: h_c + nadh_c + t3c9palmeACP_c --> hdeACP_c + nad_c
683,EAR161y: h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c
684,EDA: 2ddg6p_c --> g3p_c + pyr_c
685,EDD: 6pgc_c --> 2ddg6p_c + h2o_c
686,EDTXS1: ddcaACP_c + kdo2lipid4_c --> ACP_c + kdo2lipid4L_c
687,EDTXS2: kdo2lipid4L_c + myrsACP_c --> ACP_c + lipa_c
688,EDTXS3: hdeACP_c + kdo2lipid4_c --> ACP_c + kdo2lipid4p_c
689,EAR180x: h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c
690,EAR180y: h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c
691,3OAR161: 3ocpalm9eACP_c + h_c + nadph_c --> 3hcpalm9eACP_c + nadp_c
692,EAR181x: h_c + nadh_c + t3c11vaceACP_c --> nad_c + octeACP_c
693,EAR181y: h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c
694,EDTXS4: kdo2lipid4p_c + myrsACP_c --> ACP_c + lipa_cold_c
695,ENLIPAtex: enlipa_p --> enlipa_e
696,ENO: 2pg_c <=> h2o_c + pep_c
697,EX_feoxam_un_e: feoxam_un_e --> 
698,ENTCS: 3.0 23dhba_c + 3.0 seramp_c --> 6.0 amp_c + enter_c + 9.0 h_c
699,ENTERES: enter_c + 3.0 h2o_c --> 3.0 23dhbzs_c + 3.0 h_c
700,ENTERES2: feenter_c + 3.0 h2o_c --> 3.0 23dhbzs_c + fe3_c + 3.0 h_c
701,EX_adn_e: adn_e --> 
702,EX_adocbl_e: adocbl_e --> 
703,EX_ag_e: ag_e --> 
704,ETHAAL: etha_c --> acald_c + nh4_c
705,EX_agm_e: agm_e --> 
706,ETHAt2pp: etha_p + h_p --> etha_c + h_c
707,EX_for_e: for_e --> 
708,ETHAtex: etha_e <=> etha_p
709,ETHSO3abcpp: atp_c + ethso3_p + h2o_c --> adp_c + ethso3_c + h_c + pi_c
710,EX_akg_e: akg_e --> 
711,EX_ala_B_e: ala_B_e --> 
712,EX_ala__D_e: ala__D_e --> 
713,EX_ala__L_e: ala__L_e --> 
714,ETHSO3tex: ethso3_e <=> ethso3_p
715,ETOHt2rpp: etoh_p + h_p <=> etoh_c + h_c
716,ETOHtex: etoh_e <=> etoh_p
717,EX_alaala_e: alaala_e --> 
718,EX_all__D_e: all__D_e --> 
719,EX_alltn_e: alltn_e --> 
720,EX_12ppd__R_e: 12ppd__R_e --> 
721,EX_amp_e: amp_e --> 
722,EX_fru_e: fru_e --> 
723,EX_anhgm_e: anhgm_e --> 
724,EX_arab__L_e: arab__L_e --> 
725,EX_arbtn_e: arbtn_e --> 
726,EX_12ppd__S_e: 12ppd__S_e --> 
727,EX_14glucan_e: 14glucan_e --> 
728,EX_15dap_e: 15dap_e --> 
729,EX_23camp_e: 23camp_e --> 
730,EX_arbtn_fe3_e: arbtn_fe3_e --> 
731,EX_23ccmp_e: 23ccmp_e --> 
732,EX_arg__L_e: arg__L_e --> 
733,EX_frulys_e: frulys_e --> 
734,EX_ascb__L_e: ascb__L_e --> 
735,EX_asn__L_e: asn__L_e --> 
736,EX_23cgmp_e: 23cgmp_e --> 
737,EX_23cump_e: 23cump_e --> 
738,EX_aso3_e: aso3_e --> 
739,EX_fruur_e: fruur_e --> 
740,EX_asp__L_e: asp__L_e --> 
741,EX_23dappa_e: 23dappa_e --> 
742,EX_26dap__M_e: 26dap__M_e --> 
743,EX_but_e: but_e --> 
744,EX_butso3_e: butso3_e --> 
745,EX_2ddglcn_e: 2ddglcn_e --> 
746,EX_fuc__L_e: fuc__L_e --> 
747,EX_34dhpac_e: 34dhpac_e --> 
748,EX_3amp_e: 3amp_e --> 
749,EX_3cmp_e: 3cmp_e --> 
750,EX_ca2_e: ca2_e <=> 
751,EX_cbi_e: cbi_e --> 
752,EX_cbl1_e: cbl1_e <=> 
753,EX_cd2_e: cd2_e --> 
754,EX_cgly_e: cgly_e --> 
755,EX_3gmp_e: 3gmp_e --> 
756,EX_3hcinnm_e: 3hcinnm_e --> 
757,EX_3hpppn_e: 3hpppn_e --> 
758,EX_3ump_e: 3ump_e --> 
759,EX_chol_e: chol_e --> 
760,EX_cit_e: cit_e --> 
761,EX_cl_e: cl_e <=> 
762,EX_4abut_e: 4abut_e --> 
763,EX_4hoxpacd_e: 4hoxpacd_e --> 
764,EX_fum_e: fum_e --> 
765,EX_5dglcn_e: 5dglcn_e --> 
766,EX_LalaDgluMdapDala_e: LalaDgluMdapDala_e --> 
767,EX_cmp_e: cmp_e --> 
768,EX_co2_e: co2_e <=> 
769,EX_cobalt2_e: cobalt2_e <=> 
