,0
81,AACTOOR: aact_c + h2o_c + o2_c --> h2o2_c + mthgxl_c + nh4_c
82,ACGAtex: acgam_e <=> acgam_p
83,2AGPE161tipp: 2agpe161_p --> 2agpe161_c
84,ACGK: acglu_c + atp_c --> acg5p_c + adp_c
85,ACGS: accoa_c + glu__L_c --> acglu_c + coa_c + h_c
86,AADDGT: dtdp4aaddg_c + unagamu_c --> dtdp_c + h_c + unagamuf_c
87,AAMYL: 14glucan_c --> malthx_c
88,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
89,ACKr: ac_c + atp_c <=> actp_c + adp_c
90,ACLS: h_c + 2.0 pyr_c --> alac__S_c + co2_c
91,ACM6PH: acmum6p_c + h2o_c --> acgam6p_c + lac__D_c
92,AAMYLpp: 14glucan_p --> malthx_p
93,AB6PGH: arbt6p_c + h2o_c --> g6p_c + hqn_c
94,ABTA: 4abut_c + akg_c --> glu__L_c + sucsal_c
95,ABUTD: 4abutn_c + h2o_c + nad_c --> 4abut_c + 2.0 h_c + nadh_c
96,ABUTt2pp: 4abut_p + h_p --> 4abut_c + h_c
97,ACMAMUT: uacmamu_c + unaga_c --> h_c + udp_c + unagamu_c
98,ACMANAptspp: acmana_p + pep_c --> acmanap_c + pyr_c
99,ABUTtex: 4abut_e <=> 4abut_p
100,2AGPE180tipp: 2agpe180_p --> 2agpe180_c
101,ACACCT: acac_c + accoa_c --> aacoa_c + ac_c
102,ACACT1r: 2.0 accoa_c <=> aacoa_c + coa_c
103,ACACt2pp: acac_p + h_p <=> acac_c + h_c
104,ACACtex: acac_e <=> acac_p
105,ACMANAtex: acmana_e <=> acmana_p
106,ACMUMptspp: acmum_p + pep_c --> acmum6p_c + pyr_c
107,ACMUMtex: acmum_e --> acmum_p
108,ACNAMt2pp: acnam_p + h_p --> acnam_c + h_c
109,ACALD: acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c
110,ACALDtex: acald_e <=> acald_p
111,ACNAMtex: acnam_e <=> acnam_p
112,2AGPE181tipp: 2agpe181_p --> 2agpe181_c
113,ACNML: acnam_c --> acmana_c + pyr_c
114,ACALDtpp: acald_p <=> acald_c
115,ACANTHAT: accoa_c + anth_c --> acanth_c + coa_c
116,ACBIPGT: adocbip_c + gtp_c + h_c --> agdpcbi_c + ppi_c
117,ACOAD1f: btcoa_c + fad_c <=> b2coa_c + fadh2_c
118,ACOAD2f: fad_c + hxcoa_c <=> fadh2_c + hx2coa_c
119,ACCOAC: accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
120,2AGPEAT120: 2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c
121,ACCOAL: atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c
122,ACGAL1PPpp: acgal1p_p + h2o_p --> acgal_p + pi_p
123,ACGAL1Ptex: acgal1p_e <=> acgal1p_p
124,ACGALtex: acgal_e <=> acgal_p
125,ACOAD3f: fad_c + occoa_c <=> fadh2_c + oc2coa_c
126,ACOAD4f: dcacoa_c + fad_c <=> dc2coa_c + fadh2_c
127,ACOAD5f: ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c
128,ACOAD6f: fad_c + tdcoa_c <=> fadh2_c + td2coa_c
129,ACOAD7f: fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c
130,ACOAD8f: fad_c + stcoa_c <=> fadh2_c + od2coa_c
131,ADPT: ade_c + prpp_c --> amp_c + ppi_c
132,ACOATA: ACP_c + accoa_c <=> acACP_c + coa_c
133,2AGPEAT140: 2agpe140_c + atp_c + ttdca_c --> amp_c + pe140_c + ppi_c
134,ACODA: acorn_c + h2o_c --> ac_c + orn_c
135,ADSK: aps_c + atp_c --> adp_c + h_c + paps_c
136,ADSL1r: dcamp_c <=> amp_c + fum_c
137,ADSL2r: 25aics_c <=> aicar_c + fum_c
138,2AGPEAT141: 2agpe141_c + atp_c + ttdcea_c --> amp_c + pe141_c + ppi_c
139,ADSS: asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c
140,2AGPEAT160: 2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c
141,AGDC: acgam6p_c + h2o_c --> ac_c + gam6p_c
142,2AGPEAT161: 2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c
143,AGM3PA: anhgm3p_c + h2o_c --> LalaDgluMdap_c + anhgm_c
144,AGM3PApp: anhgm3p_p + h2o_p --> LalaDgluMdap_p + anhgm_p
145,2AGPEAT180: 2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c
146,2AGPEAT181: 2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c
147,AGM3PH: anhgm3p_c + h2o_c --> acgam_c + anhm3p_c
148,AGM3Pt2pp: anhgm3p_p + h_p --> anhgm3p_c + h_c
149,AGM4PA: anhgm4p_c + h2o_c --> LalaDgluMdapDala_c + anhgm_c
150,ACOLIPAtex: acolipa_p --> acolipa_e
151,2AGPG120tipp: 2agpg120_p --> 2agpg120_c
152,ACONIs: acon_T_c <=> acon_C_c
153,ACONMT: acon_T_c + amet_c --> aconm_c + ahcys_c
154,ACONTa: cit_c <=> acon_C_c + h2o_c
155,ACONTb: acon_C_c + h2o_c <=> icit_c
156,ACOTA: acorn_c + akg_c <=> acg5sa_c + glu__L_c
157,AGM4PApp: anhgm4p_p + h2o_p --> LalaDgluMdapDala_p + anhgm_p
158,AGM4PCP: anhgm4p_c + h2o_c --> ala__D_c + anhgm3p_c
159,AGM4PCPpp: anhgm4p_p + h2o_p --> ala__D_p + anhgm3p_p
160,AGM4PH: anhgm4p_c + h2o_c --> acgam_c + anhm4p_c
161,AGM4Pt2pp: anhgm4p_p + h_p --> anhgm4p_c + h_c
162,AGMH: anhgm_c + h2o_c --> acgam_c + anhm_c
163,AGMHE: adphep_DD_c --> adphep_LD_c
164,ACPS1: apoACP_c + coa_c --> ACP_c + h_c + pap_c
165,ACS: ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
166,ACSERtex: acser_e <=> acser_p
167,AGMT: agm_c + h2o_c --> ptrc_c + urea_c
168,AGMt2pp: anhgm_p + h_p --> anhgm_c + h_c
169,ACSERtpp: acser_c --> acser_p
170,AGMtex: agm_e <=> agm_p
171,2AGPG140tipp: 2agpg140_p --> 2agpg140_c
172,AGPAT120: 1ddecg3p_c + ddcaACP_c --> ACP_c + pa120_c
173,AGPAT140: 1tdecg3p_c + myrsACP_c --> ACP_c + pa140_c
174,ACt2rpp: ac_p + h_p <=> ac_c + h_c
175,ACt4pp: ac_p + na1_p --> ac_c + na1_c
176,ACtex: ac_e <=> ac_p
177,ADA: adn_c + h2o_c + h_c --> ins_c + nh4_c
178,AGPAT141: 1tdec7eg3p_c + tdeACP_c --> ACP_c + pa141_c
179,AGPAT160: 1hdecg3p_c + palmACP_c --> ACP_c + pa160_c
180,ADCL: 4adcho_c --> 4abz_c + h_c + pyr_c
181,2AGPG141tipp: 2agpg141_p --> 2agpg141_c
182,ADCS: chor_c + gln__L_c --> 4adcho_c + glu__L_c
183,ADD: ade_c + h2o_c + h_c --> hxan_c + nh4_c
184,AGPAT161: 1hdec9eg3p_c + hdeACP_c --> ACP_c + pa161_c
185,AGPAT180: 1odecg3p_c + ocdcaACP_c --> ACP_c + pa180_c
186,AGPAT181: 1odec11eg3p_c + octeACP_c --> ACP_c + pa181_c
187,AGPR: acg5sa_c + nadp_c + pi_c <=> acg5p_c + h_c + nadph_c
188,AGt3: ag_c + h_e --> ag_e + h_c
189,ADEt2rpp: ade_p + h_p <=> ade_c + h_c
190,ADEtex: ade_e <=> ade_p
191,ADK1: amp_c + atp_c <=> 2.0 adp_c
192,ADK3: amp_c + gtp_c <=> adp_c + gdp_c
193,AHCYSNS: ahcys_c + h2o_c --> ade_c + rhcys_c
194,AICART: 10fthf_c + aicar_c <=> fprica_c + thf_c
195,ADK4: amp_c + itp_c <=> adp_c + idp_c
196,2AGPG160tipp: 2agpg160_p --> 2agpg160_c
197,ADMDC: amet_c + h_c --> ametam_c + co2_c
198,ADNCYC: atp_c --> camp_c + ppi_c
199,ADNK1: adn_c + atp_c --> adp_c + amp_c + h_c
200,AIRC2: air_c + atp_c + hco3_c --> 5caiz_c + adp_c + h_c + pi_c
201,AIRC3: 5aizc_c <=> 5caiz_c
202,AKGDH: akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c
203,AKGt2rpp: akg_p + h_p <=> akg_c + h_c
204,AKGtex: akg_e <=> akg_p
205,ADNUC: adn_c + h2o_c --> ade_c + rib__D_c
206,ADNt2pp_copy1: adn_p + h_p --> adn_c + h_c
207,ADNt2pp_copy2: adn_p + h_p <=> adn_c + h_c
208,ALAALAD: alaala_c + h2o_c --> 2.0 ala__D_c
209,2AGPG161tipp: 2agpg161_p --> 2agpg161_c
210,ALAALAabcpp: alaala_p + atp_c + h2o_c --> adp_c + alaala_c + h_c + pi_c
211,ALAALAr: 2.0 ala__D_c + atp_c <=> adp_c + alaala_c + h_c + pi_c
212,ADNtex: adn_e <=> adn_p
213,ADOCBIK: adocbi_c + atp_c --> adocbip_c + adp_c + h_c
214,ADOCBLS: agdpcbi_c + rdmbzi_c --> adocbl_c + gmp_c + h_c
215,ADOCBLabcpp: adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c
216,ADOCBLtonex: adocbl_e + h_p --> adocbl_p + h_c
217,ALAALAtex: alaala_e <=> alaala_p
218,ALAGLUE: LalaDglu_c <=> LalaLglu_c
219,ALAR: ala__L_c <=> ala__D_c
220,ALATA_D2: ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
221,ALATA_L: akg_c + ala__L_c <=> glu__L_c + pyr_c
222,ALATA_L2: ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
223,ADPRDP: adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c
224,2AGPG180tipp: 2agpg180_p --> 2agpg180_c
225,ALLtex: all__D_e <=> all__D_p
226,ALPATE160pp: alpp_p + pe160_p --> 2agpe160_p + lpp_p
227,ALPATG160pp: alpp_p + pg160_p --> 2agpg160_p + lpp_p
228,ALR2: h_c + mthgxl_c + nadph_c --> acetol_c + nadp_c
229,ALATRS: ala__L_c + atp_c + trnaala_c --> alatrna_c + amp_c + ppi_c
230,ALAabcpp: ala__L_p + atp_c + h2o_c --> adp_c + ala__L_c + h_c + pi_c
231,ALAt2pp: ala__L_p + h_p --> ala__L_c + h_c
232,ALAt4pp: ala__L_p + na1_p --> ala__L_c + na1_c
233,ALR4x: acetol_c + h_c + nadh_c --> 12ppd__R_c + nad_c
234,2AGPG181tipp: 2agpg181_p --> 2agpg181_c
235,ALTRH: altrn_c --> 2ddglcn_c + h2o_c
236,AM3PA: anhm3p_c + h2o_c --> LalaDgluMdap_c + anhm_c
237,ALAtex: ala__L_e <=> ala__L_p
238,ALCD19: glyald_c + h_c + nadh_c <=> glyc_c + nad_c
239,ALCD2x: etoh_c + nad_c <=> acald_c + h_c + nadh_c
240,AM4PA: anhm4p_c + h2o_c --> LalaDgluMdapDala_c + anhm_c
241,AM4PCP: anhm4p_c + h2o_c --> ala__D_c + anhm3p_c
242,2AGPGAT120: 2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c
243,AMALT1: malt_c + malttr_c --> glc__D_c + maltttr_c
244,AMALT2: malt_c + maltttr_c --> glc__D_c + maltpt_c
245,ALDD19xr: h2o_c + nad_c + pacald_c --> 2.0 h_c + nadh_c + pac_c
246,ALDD2x: acald_c + h2o_c + nad_c --> ac_c + 2.0 h_c + nadh_c
247,AMALT3: malt_c + maltpt_c --> glc__D_c + malthx_c
248,ALDD2y: acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
249,AMALT4: malt_c + malthx_c --> glc__D_c + malthp_c
250,2AGPGAT140: 2agpg140_c + atp_c + ttdca_c --> amp_c + pg140_c + ppi_c
251,AMANAPEr: acmanap_c <=> acgam6p_c
252,AMANK: acmana_c + atp_c --> acmanap_c + adp_c + h_c
253,AMAOTr: 8aonn_c + amet_c <=> amob_c + dann_c
254,AMMQLT8: 2dmmql8_c + amet_c --> ahcys_c + h_c + mql8_c
255,AMPMS2: air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c
256,AMPN: amp_c + h2o_c --> ade_c + r5p_c
257,ALDD3y: h2o_c + nadp_c + ppal_c --> 2.0 h_c + nadph_c + ppa_c
258,ALDD4: btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c
259,ALLK: all__D_c + atp_c --> adp_c + all6p_c + h_c
260,ALLPI: all6p_c <=> allul6p_c
261,ALLTAMH: alltt_c + 2.0 h2o_c + 2.0 h_c --> co2_c + 2.0 nh4_c + urdglyc_c
262,ALLTN: alltn_c + h2o_c --> alltt_c + h_c
263,ALLTNt2rpp: alltn_p + h_p <=> alltn_c + h_c
264,AMPTASECG: cgly_c + h2o_c --> cys__L_c + gly_c
265,AMPTASEPG: h2o_c + progly_c --> gly_c + pro__L_c
266,AMPtex: amp_e <=> amp_p
267,ALLTNtex: alltn_e <=> alltn_p
268,2AGPGAT141: 2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c
269,ALLULPE: allul6p_c <=> f6p_c
270,ANHGMtex: anhgm_e <=> anhgm_p
271,ANHMK: anhm_c + atp_c + h2o_c --> acmum6p_c + adp_c + h_c
272,ALLabcpp: all__D_p + atp_c + h2o_c --> adp_c + all__D_c + h_c + pi_c
273,2AGPGAT160: 2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c
274,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
275,ANS: chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
276,2AGPGAT161: 2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c
277,AOBUTDs: 2aobut_c + h_c --> aact_c + co2_c
278,AOXSr: ala__L_c + h_c + pmcoa_c <=> 8aonn_c + co2_c + coa_c
279,AP4AH: ap4a_c + h2o_c --> 2.0 adp_c + 2.0 h_c
280,ASNtex: asn__L_e <=> asn__L_p
281,ASO3t8pp: aso3_c + atp_c + h2o_c --> adp_c + aso3_p + h_c + pi_c
282,2AGPGAT180: 2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c
283,ASO3tex: aso3_e <=> aso3_p
284,ASP1DC: asp__L_c + h_c --> ala_B_c + co2_c
285,AP5AH: ap5a_c + h2o_c --> adp_c + atp_c + 2.0 h_c
286,APRAUR: 5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
287,ARAI: arab__L_c <=> rbl__L_c
288,ARBTNR1: 2.0 arbtn_fe3_c + fadh2_c --> 2.0 arbtn_c + fad_c + 2.0 fe2_c + 2.0 h_c
289,ARBTNR2: 2.0 arbtn_fe3_c + fmnh2_c --> 2.0 arbtn_c + 2.0 fe2_c + fmn_c + 2.0 h_c
290,ARBTNR3: 2.0 arbtn_fe3_c + rbflvrd_c --> 2.0 arbtn_c + 2.0 fe2_c + 2.0 h_c + ribflv_c
291,ASPCT: asp__L_c + cbp_c --> cbasp_c + h_c + pi_c
292,ASPK: asp__L_c + atp_c <=> 4pasp_c + adp_c
293,ASPO3: asp__L_c + q8_c --> h_c + iasp_c + q8h2_c
294,ASPO4: asp__L_c + mqn8_c --> h_c + iasp_c + mql8_c
295,ASPO5: asp__L_c + fum_c --> h_c + iasp_c + succ_c
296,ASPO6: asp__L_c + o2_c --> h2o2_c + h_c + iasp_c
297,ARBTNabcpp: arbtn_fe3_p + atp_c + h2o_c --> adp_c + arbtn_fe3_c + h_c + pi_c
298,ARBTNexs: arbtn_e + fe3_e --> arbtn_fe3_e
299,ARBTNtex: arbtn_p + h_p --> arbtn_e + h_c
300,2AGPGAT181: 2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c
301,ARBTNtonex: arbtn_fe3_e + h_p --> arbtn_fe3_p + h_c
302,ARBTNtpp: arbtn_c + h_p --> arbtn_p + h_c
303,ARBabcpp: arab__L_p + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c
304,ASPT: asp__L_c --> fum_c + nh4_c
305,ASPTA: akg_c + asp__L_c <=> glu__L_c + oaa_c
306,ASPTRS: asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c
307,ASPabcpp: asp__L_p + atp_c + h2o_c --> adp_c + asp__L_c + h_c + pi_c
308,ARBt2rpp: arab__L_p + h_p <=> arab__L_c + h_c
309,ARBt3ipp: arab__L_c + h_p --> arab__L_p + h_c
310,ASPt2_2pp: asp__L_p + 2.0 h_p --> asp__L_c + 2.0 h_c
311,2DGLCNRx: 2dhglcn_c + h_c + nadh_c --> glcn_c + nad_c
312,ASPt2_3pp: asp__L_p + 3.0 h_p --> asp__L_c + 3.0 h_c
313,ASPt2pp: asp__L_p + h_p --> asp__L_c + h_c
314,ASPtex: asp__L_e <=> asp__L_p
315,ARBtex: arab__L_e <=> arab__L_p
316,ARGAGMt7pp: agm_c + arg__L_p <=> agm_p + arg__L_c
317,ARGDC: arg__L_c + h_c --> agm_c + co2_c
318,2DGLCNRy: 2dhglcn_c + h_c + nadph_c --> glcn_c + nadp_c
319,ARGDCpp: arg__L_p + h_p --> agm_p + co2_p
320,ARGORNt7pp: arg__L_p + orn_c <=> arg__L_c + orn_p
321,ARGSL: argsuc_c <=> arg__L_c + fum_c
322,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
323,ARGTRS: arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c
324,ARGabcpp: arg__L_p + atp_c + h2o_c --> adp_c + arg__L_c + h_c + pi_c
325,ASR: aso4_c + 2.0 gthrd_c --> aso3_c + gthox_c + h2o_c
326,AST: arg__L_c + succoa_c --> coa_c + h_c + sucarg_c
327,ATHRDHr: athr__L_c + nadp_c <=> 2aobut_c + h_c + nadph_c
328,ATPHs: atp_c + h2o_c + h_c --> itp_c + nh4_c
329,ATPM: atp_c + h2o_c --> adp_c + h_c + pi_c
330,ATPPRT: atp_c + prpp_c --> ppi_c + prbatp_c
331,ATPS4rpp: adp_c + 4.0 h_p + pi_c <=> atp_c + h2o_c + 3.0 h_c
332,BALAt2pp: ala_B_p + h_p --> ala_B_c + h_c
333,ARGt3pp: arg__L_c + h_p --> arg__L_p + h_c
334,ARGtex: arg__L_e <=> arg__L_p
335,ASAD: aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c
336,BALAtex: ala_B_e <=> ala_B_p
337,ASCBPL: ascb6p_c + h2o_c --> 3dhgulnp_c + h_c
338,2DGULRx: 2dhguln_c + h_c + nadh_c --> idon__L_c + nad_c
339,ASCBptspp: ascb__L_p + pep_c --> ascb6p_c + pyr_c
340,ASCBtex: ascb__L_e <=> ascb__L_p
341,ASNN: asn__L_c + h2o_c --> asp__L_c + nh4_c
342,BETALDHx: betald_c + h2o_c + nad_c --> glyb_c + 2.0 h_c + nadh_c
343,BETALDHy: betald_c + h2o_c + nadp_c --> glyb_c + 2.0 h_c + nadph_c
344,BPNT: h2o_c + pap_c --> amp_c + pi_c
345,BSORx: btnso_c + h_c + nadh_c --> btn_c + h2o_c + nad_c
346,BSORy: btnso_c + h_c + nadph_c --> btn_c + h2o_c + nadp_c
347,ASNNpp: asn__L_p + h2o_p --> asp__L_p + nh4_p
348,ASNS1: asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + h_c + ppi_c
349,2DGULRy: 2dhguln_c + h_c + nadph_c --> idon__L_c + nadp_c
350,ASNS2: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c
