source	target	dir	penwidth	style
LPLIPAL1G160pp	hdca_p[p]	forward	1	solid
1agpg161_p[p]	LPLIPAL1G161pp	forward	1	solid
LPLIPAL1G161pp	g3pg_p[p]	forward	1	solid
LPLIPAL1G161pp	hdcea_p[p]	forward	1	solid
1agpg180_p[p]	LPLIPAL1G180pp	forward	1	solid
LPLIPAL1G180pp	g3pg_p[p]	forward	1	solid
LPLIPAL1G180pp	ocdca_p[p]	forward	1	solid
1agpg181_p[p]	LPLIPAL1G181pp	forward	1	solid
LPLIPAL1G181pp	g3pg_p[p]	forward	1	solid
LPLIPAL1G181pp	ocdcea_p[p]	forward	1	solid
1ddecg3p_c[c]	AGPAT120	forward	1	solid
AGPAT120	ACP_c[c]	forward	1	solid
AGPAT120	pa120_c[c]	forward	1	solid
1ddecg3p_p[p]	LPLIPAL1A120pp	forward	1	solid
LPLIPAL1A120pp	ddca_p[p]	forward	1	solid
LPLIPAL1A120pp	glyc3p_p[p]	forward	1	solid
1hdec9eg3p_c[c]	AGPAT161	forward	1	solid
AGPAT161	ACP_c[c]	forward	1	solid
AGPAT161	pa161_c[c]	forward	1	solid
1hdec9eg3p_p[p]	LPLIPAL1A161pp	forward	1	solid
LPLIPAL1A161pp	glyc3p_p[p]	forward	1	solid
LPLIPAL1A161pp	hdcea_p[p]	forward	1	solid
1hdecg3p_c[c]	AGPAT160	forward	1	solid
AGPAT160	ACP_c[c]	forward	1	solid
AGPAT160	pa160_c[c]	forward	1	solid
1hdecg3p_p[p]	LPLIPAL1A160pp	forward	1	solid
LPLIPAL1A160pp	glyc3p_p[p]	forward	1	solid
LPLIPAL1A160pp	hdca_p[p]	forward	1	solid
1odec11eg3p_c[c]	AGPAT181	forward	1	solid
AGPAT181	ACP_c[c]	forward	1	solid
AGPAT181	pa181_c[c]	forward	1	solid
1odec11eg3p_p[p]	LPLIPAL1A181pp	forward	1	solid
LPLIPAL1A181pp	glyc3p_p[p]	forward	1	solid
LPLIPAL1A181pp	ocdcea_p[p]	forward	1	solid
1odecg3p_c[c]	AGPAT180	forward	1	solid
AGPAT180	ACP_c[c]	forward	1	solid
AGPAT180	pa180_c[c]	forward	1	solid
1odecg3p_p[p]	LPLIPAL1A180pp	forward	1	solid
LPLIPAL1A180pp	glyc3p_p[p]	forward	1	solid
LPLIPAL1A180pp	ocdca_p[p]	forward	1	solid
1pyr5c_c[c]	P5CD	forward	1	solid
P5CD	glu__L_c[c]	forward	1	solid
P5CD	nadh_c[c]	forward	1	solid
1pyr5c_c[c]	P5CR	forward	1	solid
P5CR	nadp_c[c]	forward	1	solid
P5CR	pro__L_c[c]	forward	1	solid
1pyr5c_c[c]	PROD2	back	1	solid
PROD2	pro__L_c[c]	back	1	solid
1tdec7eg3p_c[c]	AGPAT141	forward	1	solid
AGPAT141	ACP_c[c]	forward	1	solid
AGPAT141	pa141_c[c]	forward	1	solid
1tdec7eg3p_p[p]	LPLIPAL1A141pp	forward	1	solid
LPLIPAL1A141pp	glyc3p_p[p]	forward	1	solid
LPLIPAL1A141pp	ttdcea_p[p]	forward	1	solid
1tdecg3p_c[c]	AGPAT140	forward	1	solid
