source	target	dir	penwidth	style
HG2abcpp	atp_c[c]	back	1	solid
adp_c[c]	HISabcpp	back	1	solid
HISabcpp	atp_c[c]	back	1	solid
HMPK1	atp_c[c]	back	1	solid
adp_c[c]	HSK	back	1	solid
HSK	atp_c[c]	back	1	solid
adp_c[c]	ILEabcpp	back	1	solid
ILEabcpp	atp_c[c]	back	1	solid
adp_c[c]	INSK	back	1	solid
INSK	atp_c[c]	back	1	solid
adp_c[c]	ISETACabcpp	back	1	solid
ISETACabcpp	atp_c[c]	back	1	solid
adp_c[c]	K2L4Aabcpp	back	1	solid
K2L4Aabcpp	atp_c[c]	back	1	solid
adp_c[c]	Kabcpp	back	1	solid
Kabcpp	atp_c[c]	back	1	solid
adp_c[c]	LEUabcpp	back	1	solid
LEUabcpp	atp_c[c]	back	1	solid
adp_c[c]	LIPACabcpp	back	1	solid
LIPACabcpp	atp_c[c]	back	1	solid
adp_c[c]	LIPAabcpp	back	1	solid
LIPAabcpp	atp_c[c]	back	1	solid
adp_c[c]	LYSabcpp	back	1	solid
LYSabcpp	atp_c[c]	back	1	solid
adp_c[c]	MALTHXabcpp	back	1	solid
MALTHXabcpp	atp_c[c]	back	1	solid
adp_c[c]	MALTPTabcpp	back	1	solid
MALTPTabcpp	atp_c[c]	back	1	solid
adp_c[c]	MALTTRabcpp	back	1	solid
MALTTRabcpp	atp_c[c]	back	1	solid
adp_c[c]	MALTTTRabcpp	back	1	solid
MALTTTRabcpp	atp_c[c]	back	1	solid
adp_c[c]	MALTabcpp	back	1	solid
MALTabcpp	atp_c[c]	back	1	solid
adp_c[c]	METDabcpp	back	1	solid
METDabcpp	atp_c[c]	back	1	solid
adp_c[c]	METSOX1abcpp	back	1	solid
METSOX1abcpp	atp_c[c]	back	1	solid
adp_c[c]	METSOX2abcpp	back	1	solid
METSOX2abcpp	atp_c[c]	back	1	solid
adp_c[c]	METabcpp	back	1	solid
METabcpp	atp_c[c]	back	1	solid
adp_c[c]	MG2uabcpp	back	1	solid
MG2uabcpp	atp_c[c]	back	1	solid
adp_c[c]	MOBDabcpp	back	1	solid
MOBDabcpp	atp_c[c]	back	1	solid
adp_c[c]	MSO3abcpp	back	1	solid
MSO3abcpp	atp_c[c]	back	1	solid
MTRK	atp_c[c]	back	1	solid
adp_c[c]	NADK	back	1	solid
NADK	atp_c[c]	back	1	solid
adp_c[c]	NAMNPP	back	1	solid
NAMNPP	atp_c[c]	back	1	solid
adp_c[c]	NI2abcpp	back	1	solid
NI2abcpp	atp_c[c]	back	1	solid
adp_c[c]	NI2uabcpp	back	1	solid
NI2uabcpp	atp_c[c]	back	1	solid
adp_c[c]	NTP1	back	1	solid
NTP1	atp_c[c]	back	1	solid
OMMBLHX3	atp_c[c]	back	1	solid
OMPHHX3	atp_c[c]	back	1	solid
OPHHX3	atp_c[c]	back	1	solid
adp_c[c]	ORNabcpp	back	1	solid
ORNabcpp	atp_c[c]	back	1	solid
adp_c[c]	PA120abcpp	back	1	solid
PA120abcpp	atp_c[c]	back	1	solid
adp_c[c]	PA140abcpp	back	1	solid
PA140abcpp	atp_c[c]	back	1	solid
adp_c[c]	PA141abcpp	back	1	solid
PA141abcpp	atp_c[c]	back	1	solid
adp_c[c]	PA160abcpp	back	1	solid
PA160abcpp	atp_c[c]	back	1	solid
adp_c[c]	PA161abcpp	back	1	solid
PA161abcpp	atp_c[c]	back	1	solid
adp_c[c]	PA180abcpp	back	1	solid
PA180abcpp	atp_c[c]	back	1	solid
adp_c[c]	PA181abcpp	back	1	solid
PA181abcpp	atp_c[c]	back	1	solid
adp_c[c]	PE120abcpp	back	1	solid
PE120abcpp	atp_c[c]	back	1	solid
adp_c[c]	PE140abcpp	back	1	solid
PE140abcpp	atp_c[c]	back	1	solid
adp_c[c]	PE141abcpp	back	1	solid
PE141abcpp	atp_c[c]	back	1	solid
adp_c[c]	PE160abcpp	back	1	solid
PE160abcpp	atp_c[c]	back	1	solid
adp_c[c]	PE161abcpp	back	1	solid
PE161abcpp	atp_c[c]	back	1	solid
adp_c[c]	PE180abcpp	back	1	solid
PE180abcpp	atp_c[c]	back	1	solid
adp_c[c]	PE181abcpp	back	1	solid
PE181abcpp	atp_c[c]	back	1	solid
adp_c[c]	PFK	back	1	solid
PFK	atp_c[c]	back	1	solid
adp_c[c]	PFK_2	back	1	solid
PFK_2	atp_c[c]	back	1	solid
adp_c[c]	PG120abcpp	back	1	solid
PG120abcpp	atp_c[c]	back	1	solid
adp_c[c]	PG140abcpp	back	1	solid
PG140abcpp	atp_c[c]	back	1	solid
adp_c[c]	PG141abcpp	back	1	solid
PG141abcpp	atp_c[c]	back	1	solid
adp_c[c]	PG160abcpp	back	1	solid
PG160abcpp	atp_c[c]	back	1	solid
adp_c[c]	PG161abcpp	back	1	solid
PG161abcpp	atp_c[c]	back	1	solid
adp_c[c]	PG180abcpp	back	1	solid
PG180abcpp	atp_c[c]	back	1	solid
adp_c[c]	PG181abcpp	back	1	solid
PG181abcpp	atp_c[c]	back	1	solid
adp_c[c]	PGP120abcpp	back	1	solid
PGP120abcpp	atp_c[c]	back	1	solid
adp_c[c]	PGP140abcpp	back	1	solid
PGP140abcpp	atp_c[c]	back	1	solid
adp_c[c]	PGP141abcpp	back	1	solid
PGP141abcpp	atp_c[c]	back	1	solid
adp_c[c]	PGP160abcpp	back	1	solid
PGP160abcpp	atp_c[c]	back	1	solid
adp_c[c]	PGP161abcpp	back	1	solid
PGP161abcpp	atp_c[c]	back	1	solid
adp_c[c]	PGP180abcpp	back	1	solid
PGP180abcpp	atp_c[c]	back	1	solid
adp_c[c]	PGP181abcpp	back	1	solid
PGP181abcpp	atp_c[c]	back	1	solid
adp_c[c]	PHEMEabcpp	back	1	solid
PHEMEabcpp	atp_c[c]	back	1	solid
adp_c[c]	PIuabcpp	back	1	solid
PIuabcpp	atp_c[c]	back	1	solid
PMPK	atp_c[c]	back	1	solid
adp_c[c]	PNTK	back	1	solid
PNTK	atp_c[c]	back	1	solid
adp_c[c]	PPCK	back	1	solid
PPCK	atp_c[c]	back	1	solid
adp_c[c]	PRAIS	back	1	solid
PRAIS	atp_c[c]	back	1	solid
PRASCSi	atp_c[c]	back	1	solid
adp_c[c]	PRFGS	back	1	solid
PRFGS	atp_c[c]	back	1	solid
adp_c[c]	PROGLYabcpp	back	1	solid
PROGLYabcpp	atp_c[c]	back	1	solid
adp_c[c]	PROabcpp	back	1	solid
PROabcpp	atp_c[c]	back	1	solid
adp_c[c]	PTRCabcpp	back	1	solid
PTRCabcpp	atp_c[c]	back	1	solid
adp_c[c]	PYDAMK	back	1	solid
PYDAMK	atp_c[c]	back	1	solid
adp_c[c]	PYDXK	back	1	solid
PYDXK	atp_c[c]	back	1	solid
adp_c[c]	PYDXNK	back	1	solid
PYDXNK	atp_c[c]	back	1	solid
adp_c[c]	R15BPK	back	1	solid
R15BPK	atp_c[c]	back	1	solid
adp_c[c]	R1PK	back	1	solid
R1PK	atp_c[c]	back	1	solid
adp_c[c]	RBFK	back	1	solid
RBFK	atp_c[c]	back	1	solid
adp_c[c]	RBK	back	1	solid
RBK	atp_c[c]	back	1	solid
adp_c[c]	RBK_L1	back	1	solid
RBK_L1	atp_c[c]	back	1	solid
adp_c[c]	RIBabcpp	back	1	solid
RIBabcpp	atp_c[c]	back	1	solid
adp_c[c]	RMK	back	1	solid
RMK	atp_c[c]	back	1	solid
adp_c[c]	SHKK	back	1	solid
SHKK	atp_c[c]	back	1	solid
adp_c[c]	SPMDabcpp	back	1	solid
SPMDabcpp	atp_c[c]	back	1	solid
adp_c[c]	SULFACabcpp	back	1	solid
SULFACabcpp	atp_c[c]	back	1	solid
adp_c[c]	SULabcpp	back	1	solid
SULabcpp	atp_c[c]	back	1	solid
adp_c[c]	TAURabcpp	back	1	solid
TAURabcpp	atp_c[c]	back	1	solid
adp_c[c]	TDSK	back	1	solid
TDSK	atp_c[c]	back	1	solid
adp_c[c]	THMabcpp	back	1	solid
THMabcpp	atp_c[c]	back	1	solid
adp_c[c]	THRabcpp	back	1	solid
THRabcpp	atp_c[c]	back	1	solid
adp_c[c]	TMDK1	back	1	solid
TMDK1	atp_c[c]	back	1	solid
adp_c[c]	TMK	back	1	solid
TMK	atp_c[c]	back	1	solid
adp_c[c]	TMPK	back	1	solid
TMPK	atp_c[c]	back	1	solid
adp_c[c]	TSULabcpp	back	1	solid
TSULabcpp	atp_c[c]	back	1	solid
adp_c[c]	TUNGSabcpp	back	1	solid
TUNGSabcpp	atp_c[c]	back	1	solid
UAAGDS	atp_c[c]	back	1	solid
adp_c[c]	UAMAGS	back	1	solid
UAMAGS	atp_c[c]	back	1	solid
adp_c[c]	UAMAS	back	1	solid
UAMAS	atp_c[c]	back	1	solid
adp_c[c]	UGMDDS	back	1	solid
UGMDDS	atp_c[c]	back	1	solid
UM3PL	atp_c[c]	back	1	solid
UM4PL	atp_c[c]	back	1	solid
adp_c[c]	VALabcpp	back	1	solid
VALabcpp	atp_c[c]	back	1	solid
adp_c[c]	XYLK	back	1	solid
XYLK	atp_c[c]	back	1	solid
adp_c[c]	XYLK2	back	1	solid
XYLK2	atp_c[c]	back	1	solid
adp_c[c]	XYLabcpp	back	1	solid
XYLabcpp	atp_c[c]	back	1	solid
adp_c[c]	ZN2abcpp	back	1	solid
ZN2abcpp	atp_c[c]	back	1	solid
adp_c[c]	ZNabcpp	back	1	solid
ZNabcpp	atp_c[c]	back	1	solid
adp_c[c]	RNDR1	forward	1	solid
RNDR1	dadp_c[c]	forward	1	solid
adp_c[c]	RNDR1b	forward	1	solid
RNDR1b	dadp_c[c]	forward	1	solid
NDPK8	dadp_c[c]	both	1	solid
PPAKr	ppa_c[c]	both	1	solid
ACCOAL	ppa_c[c]	back	1	solid
PYK	pyr_c[c]	forward	1	solid
adpglc_c[c]	GLCS1	forward	1	solid
GLCS1	adp_c[c]	forward	1	solid
GLCS1	glycogen_c[c]	forward	1	solid
adphep_DD_c[c]	AGMHE	forward	1	solid
AGMHE	adphep_LD_c[c]	forward	1	solid
adphep_LD_c[c]	HEPT1	forward	1	solid
HEPT1	adp_c[c]	forward	1	solid
adphep_LD_c[c]	HEPT2	forward	1	solid
HEPT2	adp_c[c]	forward	1	solid
adphep_LD_c[c]	HEPT3	forward	1	solid
HEPT3	adp_c[c]	forward	1	solid
adphep_LD_c[c]	HEPT4	forward	1	solid
HEPT4	adp_c[c]	forward	1	solid
HEPT4	colipa_c[c]	forward	1	solid
HEPT2	hhlipa_c[c]	forward	1	solid
HEPT1	hlipa_c[c]	forward	1	solid
HEPT3	hphhlipa_c[c]	forward	1	solid
adprib_c[c]	ADPRDP	forward	1	solid
ADPRDP	amp_c[c]	forward	1	solid
ADPRDP	r5p_c[c]	forward	1	solid
agdpcbi_c[c]	ADOCBLS	forward	1	solid
ADOCBLS	adocbl_c[c]	forward	1	solid
ADOCBLS	gmp_c[c]	forward	1	solid
agm_c[c]	ARGAGMt7pp	both	1	solid
ARGAGMt7pp	agm_p[p]	both	1	solid
ARGAGMt7pp	arg__L_c[c]	both	1	solid
agm_c[c]	ARGDC	back	1	solid
ARGDC	arg__L_c[c]	back	1	solid
agm_c[c]	AGMT	forward	1	solid
AGMT	ptrc_c[c]	forward	1	solid
AGMT	urea_c[c]	forward	1	solid
agm_e[e]	AGMtex	both	1	solid
AGMtex	agm_p[p]	both	1	solid
ahcys_c[c]	AHCYSNS	forward	1	solid
AHCYSNS	ade_c[c]	forward	1	solid
AHCYSNS	rhcys_c[c]	forward	1	solid
ahdt_c[c]	DHPTPE	both	1	solid
DHPTPE	dhmptp_c[c]	both	1	solid
ahdt_c[c]	DNTPPA	forward	1	solid
DNTPPA	dhpmp_c[c]	forward	1	solid
aicar_c[c]	AICART	both	1	solid
air_c[c]	AMPMS2	forward	1	solid
AMPMS2	4ampm_c[c]	forward	1	solid
air_c[c]	AIRC2	forward	1	solid
AIRC2	5caiz_c[c]	forward	1	solid
AMPMS2	for_c[c]	forward	1	solid
AMPMS2	nadh_c[c]	forward	1	solid
akg_c[c]	TYRTA	both	1	solid
TYRTA	34hpp_c[c]	both	1	solid
akg_c[c]	VALTA	both	1	solid
akg_c[c]	ILETA	both	1	solid
ILETA	3mop_c[c]	both	1	solid
akg_c[c]	PTRCTA	forward	1	solid
PTRCTA	4abutn_c[c]	forward	1	solid
akg_c[c]	TAUDO	forward	1	solid
TAUDO	aacald_c[c]	forward	1	solid
akg_c[c]	ACOTA	both	1	solid
akg_c[c]	AKGDH	forward	1	solid
AKGDH	co2_c[c]	forward	1	solid
akg_c[c]	OXGDC2	forward	1	solid
OXGDC2	co2_c[c]	forward	1	solid
TAUDO	co2_c[c]	forward	1	solid
akg_c[c]	ABTA	forward	1	solid
akg_c[c]	GLUSy	forward	1	solid
GLUSy	glu__L_c[c]	forward	1	solid
PTRCTA	glu__L_c[c]	forward	1	solid
akg_c[c]	SOTA	forward	1	solid
SOTA	glu__L_c[c]	forward	1	solid
akg_c[c]	ALATA_L	both	1	solid
ALATA_L	glu__L_c[c]	both	1	solid
akg_c[c]	ASPTA	both	1	solid
ASPTA	glu__L_c[c]	both	1	solid
akg_c[c]	GLUDy	both	1	solid
GLUDy	glu__L_c[c]	both	1	solid
ILETA	glu__L_c[c]	both	1	solid
akg_c[c]	OHPBAT	both	1	solid
OHPBAT	glu__L_c[c]	both	1	solid
akg_c[c]	PHETA1	both	1	solid
PHETA1	glu__L_c[c]	both	1	solid
akg_c[c]	SDPTA	both	1	solid
SDPTA	glu__L_c[c]	both	1	solid
TYRTA	glu__L_c[c]	both	1	solid
akg_c[c]	UDPKAAT	both	1	solid
UDPKAAT	glu__L_c[c]	both	1	solid
VALTA	glu__L_c[c]	both	1	solid
akg_c[c]	HSTPT	back	1	solid
HSTPT	glu__L_c[c]	back	1	solid
LEUTAi	glu__L_c[c]	back	1	solid
PSERT	glu__L_c[c]	back	1	solid
akg_c[c]	TDPAGTA	back	1	solid
TDPAGTA	glu__L_c[c]	back	1	solid
UNK3	glu__L_c[c]	back	1	solid
AKGDH	nadh_c[c]	forward	1	solid
GLUSy	nadp_c[c]	forward	1	solid
GLUDy	nadp_c[c]	both	1	solid
akg_c[c]	ICDHyr	both	1	solid
ICDHyr	nadp_c[c]	both	1	solid
ASPTA	oaa_c[c]	both	1	solid
PHETA1	phpyr_c[c]	both	1	solid
ALATA_L	pyr_c[c]	both	1	solid
SDPTA	sl2a6o_c[c]	both	1	solid
OXGDC2	ssaltpp_c[c]	forward	1	solid
TAUDO	succ_c[c]	forward	1	solid
AKGDH	succoa_c[c]	forward	1	solid
SOTA	sucgsa_c[c]	forward	1	solid
akg_e[e]	AKGtex	both	1	solid
AKGtex	akg_p[p]	both	1	solid
akg_p[p]	AKGt2rpp	both	1	solid
AKGt2rpp	akg_c[c]	both	1	solid
ala_B_c[c]	PANTS	forward	1	solid
PANTS	amp_c[c]	forward	1	solid
PANTS	pnto__R_c[c]	forward	1	solid
ala_B_e[e]	BALAtex	both	1	solid
BALAtex	ala_B_p[p]	both	1	solid
ala_B_p[p]	BALAt2pp	forward	1	solid
BALAt2pp	ala_B_c[c]	forward	1	solid
ala__D_c[c]	ALAALAr	both	1	solid
ALAALAr	alaala_c[c]	both	1	solid
ala__D_c[c]	ALAALAD	back	1	solid
ALAALAD	alaala_c[c]	back	1	solid
ala__D_c[c]	DAAD	forward	1	solid
DAAD	fadh2_c[c]	forward	1	solid
ala__D_c[c]	ALATA_D2	forward	1	solid
ALATA_D2	pyam5p_c[c]	forward	1	solid
ALATA_D2	pyr_c[c]	forward	1	solid
DAAD	pyr_c[c]	forward	1	solid
ala__D_e[e]	DALAtex	both	1	solid
DALAtex	ala__D_p[p]	both	1	solid
ala__D_p[p]	DALAt2pp	forward	1	solid
DALAt2pp	ala__D_c[c]	forward	1	solid
ala__L_c[c]	AOXSr	both	1	solid
AOXSr	8aonn_c[c]	both	1	solid
ala__L_c[c]	UAMAS	forward	1	solid
ala__L_c[c]	ALAR	both	1	solid
ALAR	ala__D_c[c]	both	1	solid
ala__L_c[c]	ALATRS	forward	1	solid
ALATRS	alatrna_c[c]	forward	1	solid
ALATRS	amp_c[c]	forward	1	solid
AOXSr	co2_c[c]	both	1	solid
AOXSr	coa_c[c]	both	1	solid
ala__L_c[c]	ALATA_L	both	1	solid
ala__L_c[c]	ALATA_L2	forward	1	solid
ALATA_L2	pyam5p_c[c]	forward	1	solid
ALATA_L2	pyr_c[c]	forward	1	solid
ala__L_c[c]	VPAMTr	forward	1	solid
UAMAS	uama_c[c]	forward	1	solid
ala__L_e[e]	ALAtex	both	1	solid
ALAtex	ala__L_p[p]	both	1	solid
ala__L_p[p]	ALAabcpp	forward	1	solid
ALAabcpp	ala__L_c[c]	forward	1	solid
ala__L_p[p]	ALAt2pp	forward	1	solid
ALAt2pp	ala__L_c[c]	forward	1	solid
ala__L_p[p]	ALAt4pp	forward	1	solid
ALAt4pp	ala__L_c[c]	forward	1	solid
alaala_c[c]	UGMDDS	forward	1	solid
UGMDDS	ugmda_c[c]	forward	1	solid
alaala_e[e]	ALAALAtex	both	1	solid
ALAALAtex	alaala_p[p]	both	1	solid
alaala_p[p]	ALAALAabcpp	forward	1	solid
ALAALAabcpp	alaala_c[c]	forward	1	solid
all6p_c[c]	ALLPI	both	1	solid
ALLPI	allul6p_c[c]	both	1	solid
all__D_c[c]	ALLK	forward	1	solid
ALLK	all6p_c[c]	forward	1	solid
all__D_e[e]	ALLtex	both	1	solid
ALLtex	all__D_p[p]	both	1	solid
all__D_p[p]	ALLabcpp	forward	1	solid
ALLabcpp	all__D_c[c]	forward	1	solid
alltn_c[c]	ALLTN	forward	1	solid
ALLTN	alltt_c[c]	forward	1	solid
alltn_e[e]	ALLTNtex	both	1	solid
ALLTNtex	alltn_p[p]	both	1	solid
alltn_p[p]	ALLTNt2rpp	both	1	solid
ALLTNt2rpp	alltn_c[c]	both	1	solid
alltt_c[c]	ALLTAMH	forward	1	solid
ALLTAMH	co2_c[c]	forward	1	solid
ALLTAMH	urdglyc_c[c]	forward	1	solid
allul6p_c[c]	ALLULPE	both	1	solid
ALLULPE	f6p_c[c]	both	1	solid
altrn_c[c]	ALTRH	forward	1	solid
ALTRH	2ddglcn_c[c]	forward	1	solid
altrn_c[c]	TAGURr	both	1	solid
TAGURr	nadh_c[c]	both	1	solid
TAGURr	tagur_c[c]	both	1	solid
amet_c[c]	OMBZLM	forward	1	solid
amet_c[c]	OHPHM	forward	1	solid
amet_c[c]	ACONMT	forward	1	solid
amet_c[c]	AMMQLT8	forward	1	solid
amet_c[c]	CFAS160E	forward	1	solid
CFAS160E	ahcys_c[c]	forward	1	solid
amet_c[c]	CFAS160G	forward	1	solid
CFAS160G	ahcys_c[c]	forward	1	solid
amet_c[c]	CFAS180E	forward	1	solid
CFAS180E	ahcys_c[c]	forward	1	solid
amet_c[c]	CFAS180G	forward	1	solid
CFAS180G	ahcys_c[c]	forward	1	solid
amet_c[c]	DMQMT	forward	1	solid
amet_c[c]	HCYSMT	forward	1	solid
HCYSMT	ahcys_c[c]	forward	1	solid
amet_c[c]	UPP3MT	forward	1	solid
UPP3MT	ahcys_c[c]	forward	1	solid
amet_c[c]	ADMDC	forward	1	solid
ADMDC	ametam_c[c]	forward	1	solid
amet_c[c]	AMAOTr	both	1	solid
amet_c[c]	BTS4	forward	1	solid
BTS4	btn_c[c]	forward	1	solid
ADMDC	co2_c[c]	forward	1	solid
amet_c[c]	CPPPGO2	forward	1	solid
CPPPGO2	co2_c[c]	forward	1	solid
CFAS160E	cpe160_c[c]	forward	1	solid
CFAS180E	cpe180_c[c]	forward	1	solid
CFAS160G	cpg160_c[c]	forward	1	solid
CFAS180G	cpg180_c[c]	forward	1	solid
BTS4	dad_5_c[c]	forward	1	solid
CPPPGO2	dad_5_c[c]	forward	1	solid
UPP3MT	dscl_c[c]	forward	1	solid
BTS4	met__L_c[c]	forward	1	solid
CPPPGO2	met__L_c[c]	forward	1	solid
HCYSMT	met__L_c[c]	forward	1	solid
amet_c[c]	METAT	back	1	solid
METAT	met__L_c[c]	back	1	solid
CPPPGO2	pppg9_c[c]	forward	1	solid
ametam_c[c]	SPMS	forward	1	solid
SPMS	5mta_c[c]	forward	1	solid
SPMS	spmd_c[c]	forward	1	solid
amp_c[c]	ADK1	both	1	solid
amp_c[c]	ADK3	both	1	solid
ADK3	adp_c[c]	both	1	solid
amp_c[c]	ADK4	both	1	solid
ADK4	adp_c[c]	both	1	solid
ADK3	gdp_c[c]	both	1	solid
amp_c[c]	GDPDPK	back	1	solid
GDPDPK	gdp_c[c]	back	1	solid
ADK4	idp_c[c]	both	1	solid
AMPN	r5p_c[c]	forward	1	solid
amp_c[c]	PRPPS	both	1	solid
PRPPS	r5p_c[c]	both	1	solid
amp_e[e]	AMPtex	both	1	solid
AMPtex	amp_p[p]	both	1	solid
amp_p[p]	NTD7pp	forward	1	solid
NTD7pp	adn_p[p]	forward	1	solid
anhgm3p_c[c]	AGM3PA	forward	1	solid
AGM3PA	LalaDgluMdap_c[c]	forward	1	solid
anhgm3p_c[c]	AGM3PH	forward	1	solid
AGM3PH	acgam_c[c]	forward	1	solid
AGM3PA	anhgm_c[c]	forward	1	solid
AGM3PH	anhm3p_c[c]	forward	1	solid
anhgm3p_p[p]	AGM3PApp	forward	1	solid
AGM3PApp	LalaDgluMdap_p[p]	forward	1	solid
anhgm3p_p[p]	AGM3Pt2pp	forward	1	solid
AGM3Pt2pp	anhgm3p_c[c]	forward	1	solid
AGM3PApp	anhgm_p[p]	forward	1	solid
anhgm4p_c[c]	AGM4PA	forward	1	solid
AGM4PA	LalaDgluMdapDala_c[c]	forward	1	solid
anhgm4p_c[c]	AGM4PH	forward	1	solid
AGM4PH	acgam_c[c]	forward	1	solid
anhgm4p_c[c]	AGM4PCP	forward	1	solid
AGM4PCP	ala__D_c[c]	forward	1	solid
AGM4PCP	anhgm3p_c[c]	forward	1	solid
AGM4PA	anhgm_c[c]	forward	1	solid
AGM4PH	anhm4p_c[c]	forward	1	solid
anhgm4p_p[p]	AGM4PApp	forward	1	solid
AGM4PApp	LalaDgluMdapDala_p[p]	forward	1	solid
anhgm4p_p[p]	AGM4PCPpp	forward	1	solid
AGM4PCPpp	ala__D_p[p]	forward	1	solid
AGM4PCPpp	anhgm3p_p[p]	forward	1	solid
anhgm4p_p[p]	AGM4Pt2pp	forward	1	solid
AGM4Pt2pp	anhgm4p_c[c]	forward	1	solid
AGM4PApp	anhgm_p[p]	forward	1	solid
anhgm_c[c]	AGMH	forward	1	solid
AGMH	acgam_c[c]	forward	1	solid
AGMH	anhm_c[c]	forward	1	solid
anhgm_e[e]	ANHGMtex	both	1	solid
ANHGMtex	anhgm_p[p]	both	1	solid
anhgm_p[p]	AGMt2pp	forward	1	solid
AGMt2pp	anhgm_c[c]	forward	1	solid
anhm3p_c[c]	AM3PA	forward	1	solid
AM3PA	LalaDgluMdap_c[c]	forward	1	solid
AM3PA	anhm_c[c]	forward	1	solid
anhm4p_c[c]	AM4PA	forward	1	solid
AM4PA	LalaDgluMdapDala_c[c]	forward	1	solid
anhm4p_c[c]	AM4PCP	forward	1	solid
AM4PCP	ala__D_c[c]	forward	1	solid
AM4PCP	anhm3p_c[c]	forward	1	solid
AM4PA	anhm_c[c]	forward	1	solid
anhm_c[c]	ANHMK	forward	1	solid
ANHMK	acmum6p_c[c]	forward	1	solid
anth_c[c]	ACANTHAT	forward	1	solid
anth_c[c]	ANPRT	forward	1	solid
ANPRT	pran_c[c]	forward	1	solid
ap4a_c[c]	AP4AH	forward	1	solid
AP4AH	adp_c[c]	forward	1	solid
ap5a_c[c]	AP5AH	forward	1	solid
AP5AH	adp_c[c]	forward	1	solid
AP5AH	atp_c[c]	forward	1	solid
aps_c[c]	ADSK	forward	1	solid
ADSK	paps_c[c]	forward	1	solid
ara5p_c[c]	KDOPS	forward	1	solid
KDOPS	kdo8p_c[c]	forward	1	solid
arab__L_c[c]	ARBt3ipp	forward	1	solid
ARBt3ipp	arab__L_p[p]	forward	1	solid
arab__L_c[c]	ARBabcpp	back	1	solid
ARBabcpp	arab__L_p[p]	back	1	solid
arab__L_c[c]	ARBt2rpp	both	1	solid
ARBt2rpp	arab__L_p[p]	both	1	solid
arab__L_c[c]	ARAI	both	1	solid
ARAI	rbl__L_c[c]	both	1	solid
arab__L_e[e]	ARBtex	both	1	solid
ARBtex	arab__L_p[p]	both	1	solid
aragund_c[c]	O16GLCT1	forward	1	solid
O16GLCT1	garagund_c[c]	forward	1	solid
O16GLCT1	udp_c[c]	forward	1	solid
arbt6p_c[c]	AB6PGH	forward	1	solid
AB6PGH	g6p_c[c]	forward	1	solid
AB6PGH	hqn_c[c]	forward	1	solid
arbtn_c[c]	ARBTNtpp	forward	1	solid
ARBTNtpp	arbtn_p[p]	forward	1	solid
arbtn_e[e]	ARBTNexs	forward	1	solid
ARBTNexs	arbtn_fe3_e[e]	forward	1	solid
arbtn_fe3_c[c]	ARBTNR1	forward	1	solid
ARBTNR1	arbtn_c[c]	forward	1	solid
arbtn_fe3_c[c]	ARBTNR2	forward	1	solid
ARBTNR2	arbtn_c[c]	forward	1	solid
arbtn_fe3_c[c]	ARBTNR3	forward	1	solid
ARBTNR3	arbtn_c[c]	forward	1	solid
ARBTNR1	fad_c[c]	forward	1	solid
ARBTNR2	fmn_c[c]	forward	1	solid
ARBTNR3	ribflv_c[c]	forward	1	solid
arbtn_fe3_e[e]	ARBTNtonex	forward	1	solid
ARBTNtonex	arbtn_fe3_p[p]	forward	1	solid
arbtn_fe3_p[p]	ARBTNabcpp	forward	1	solid
ARBTNabcpp	arbtn_fe3_c[c]	forward	1	solid
arbtn_p[p]	ARBTNtex	forward	1	solid
ARBTNtex	arbtn_e[e]	forward	1	solid
arg__L_c[c]	ARGTRS	forward	1	solid
ARGTRS	amp_c[c]	forward	1	solid
arg__L_c[c]	ARGt3pp	forward	1	solid
ARGt3pp	arg__L_p[p]	forward	1	solid
arg__L_c[c]	ARGabcpp	back	1	solid
ARGabcpp	arg__L_p[p]	back	1	solid
ARGAGMt7pp	arg__L_p[p]	both	1	solid
arg__L_c[c]	ARGORNt7pp	both	1	solid
ARGORNt7pp	arg__L_p[p]	both	1	solid
ARGTRS	argtrna_c[c]	forward	1	solid
ARGDC	co2_c[c]	forward	1	solid
arg__L_c[c]	AST	forward	1	solid
AST	coa_c[c]	forward	1	solid
AST	sucarg_c[c]	forward	1	solid
arg__L_e[e]	ARGtex	both	1	solid
ARGtex	arg__L_p[p]	both	1	solid
arg__L_p[p]	ARGDCpp	forward	1	solid
ARGDCpp	agm_p[p]	forward	1	solid
ARGDCpp	co2_p[p]	forward	1	solid
ARGORNt7pp	orn_p[p]	both	1	solid
argsuc_c[c]	ARGSL	both	1	solid
ARGSL	arg__L_c[c]	both	1	solid
ARGSL	fum_c[c]	both	1	solid
ascb6p_c[c]	ASCBPL	forward	1	solid
ASCBPL	3dhgulnp_c[c]	forward	1	solid
ascb__L_e[e]	ASCBtex	both	1	solid
ASCBtex	ascb__L_p[p]	both	1	solid
ascb__L_p[p]	ASCBptspp	forward	1	solid
ASCBptspp	ascb6p_c[c]	forward	1	solid
ASCBptspp	pyr_c[c]	forward	1	solid
asn__L_c[c]	ASNTRS	forward	1	solid
ASNTRS	amp_c[c]	forward	1	solid
ASNTRS	asntrna_c[c]	forward	1	solid
asn__L_c[c]	ASNN	forward	1	solid
ASNN	asp__L_c[c]	forward	1	solid
asn__L_c[c]	ASNS1	back	1	solid
ASNS1	asp__L_c[c]	back	1	solid
asn__L_c[c]	ASNS2	back	1	solid
ASNS2	asp__L_c[c]	back	1	solid
asn__L_e[e]	ASNtex	both	1	solid
ASNtex	asn__L_p[p]	both	1	solid
